City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,al jawf,29.5,38.75,306.43,17,0,4.99,SA,1721243665
226,rio preto da eva,-2.6994,-59.6997,304.02,48,100,1.49,BR,1721243666
227,mangai,-4.05,19.5333,299.74,30,81,0.85,CD,1721243667
228,neryungri,56.6709,124.6491,287.63,89,100,0.85,RU,1721243668
229,tuapse,44.1125,39.0742,301.89,57,5,0.95,RU,1721243670
230,yantarnyy,54.8717,19.9381,293.07,76,29,2.37,RU,1721243671
231,saint-francois,46.4154,3.9054,295.19,69,4,2.72,FR,1721243672
232,vera cruz,-12.6333,-41.0333,294.91,66,100,2.22,BR,1721243673
233,santa cruz,-17.8,-63.1667,299.85,38,20,4.12,BO,1721243674
234,stutterheim,-32.5708,27.424,284.3,49,80,2.04,ZA,1721243675
235,berezovyy,51.6667,135.7,292.5,99,100,0.79,RU,1721243676
236,akureyri,65.6835,-18.0878,288.11,72,100,3.6,IS,1721243677
237,quellon,-43.1167,-73.6167,283.15,86,100,5.32,CL,1721243679
238,tommot,58.9564,126.2925,287.7,89,92,0.57,RU,1721243680
239,chonchi,-42.6128,-73.8092,285.44,91,100,3.66,CL,1721243681
240,port-vila,-17.7338,168.3219,296.93,100,75,0.51,VU,1721243682
241,tangalle,6.024,80.7911,299.46,85,100,4.17,LK,1721243683
242,newman,37.3138,-121.0208,303.34,15,0,2.86,US,1721243684
243,iskateley,67.6803,53.1512,284.61,90,10,4.95,RU,1721243685
244,souillac,-20.5167,57.5167,294.36,73,40,3.09,MU,1721243686
245,tateyama,34.9833,139.8667,298.76,90,92,1.8,JP,1721243687
246,chibougamau,49.9168,-74.3659,295.94,60,50,3.42,CA,1721243689
247,longboat key,27.4125,-82.659,308.28,60,20,5.66,US,1721243690
248,kanniyakumari,8.0833,77.5667,297.51,79,100,6.96,IN,1721243691
249,weno,7.4515,151.8468,298.74,88,100,3.09,FM,1721243692
250,ola,59.5833,151.2833,285.06,82,100,1.8,RU,1721243693
251,yanchep,-31.55,115.6833,288.49,91,100,6.74,AU,1721243694
252,bereznik,62.8551,42.7072,291.33,74,100,2.01,RU,1721243696
253,fale old settlement,-9.3852,-171.2468,301.46,70,100,9.82,TK,1721243697
254,wotho,10.1657,166.0102,300.86,84,100,7.81,MH,1721243699
255,bamyan,34.75,67.25,284.83,56,0,4.12,AF,1721243700
256,coatepec harinas,18.8949,-99.7215,291.67,73,96,1.81,MX,1721243701
257,monze,-16.2833,27.4833,289.58,34,0,2.53,ZM,1721243702
258,hadibu,12.65,54.0333,299.69,80,100,8.79,YE,1721243703
